ngram,occ
express_paper_entirely,6133.0
million_ton,6131.0
supply_territory,6129.0
org_org,6127.0
square_kilometer,6126.0
prove_difficult,6125.0
accountability_transparency,6125.0
nominal_term,6122.0
alleviate_poverty,6121.0
encourage_exchange_idea,6121.0
relatively_stable,6111.0
notwithstanding_provision_paragraph,6111.0
particular_emphasis,6110.0
occupational_health_safety,6109.0
bid_evaluation_activity,6109.0
disaster_risk_management,6109.0
draft_sign,6107.0
necessarily_reflect_view,6106.0
progress_achievement_moderately,6103.0
scarce_resource,6098.0
potentially_affect,6081.0
knowledge_sharing,6070.0
construction_permit,6069.0
advanced_economy,6063.0
special_drawing_right,6062.0
negatively_impact,6051.0
deposit_special_account,6046.0
main_driver,6043.0
table_summarize,6041.0
trade_liberalization,6040.0
vary_depend,6030.0
maintenance_repair,6023.0
special_emphasis,6023.0
skilled_labor,6020.0
make_respect_reasonable,6020.0
project_location_salient,6012.0
trading_partner,6011.0
copy_public_disclosure,6002.0
self_employment,5998.0
user_fee,5997.0
actively_involve,5997.0
furnish_association,5996.0
absorptive_capacity,5993.0
severely_affect,5990.0
senior_official,5988.0
carry_author_cite,5984.0
waste_collection,5984.0
concept_stage,5972.0
strategic_planning,5965.0
pursuant_section,5964.0
teacher_training,5963.0
approval_date_effectiveness,5963.0
corporate_income,5953.0
post_direct_selection,5949.0
directorate_general,5947.0
rating_satisfactory,5931.0
copy_report,5926.0
disseminate_finding_work,5926.0
vary_accord,5923.0
proposal_submission_report,5914.0
state_art,5913.0
short_list_comprise_entirely,5904.0
identification_preparation,5901.0
deputy_director,5895.0
request_single_stage_pend,5893.0
historical_datum,5889.0
number_custom_baseline,5887.0
displace_person,5885.0
payment_eligible_expenditure,5877.0
accordingly_finding_interpretation_conclusion,5873.0
comparative_analysis,5873.0
old_age,5872.0
concerted_effort,5871.0
expand_rapidly,5860.0
prior_review_threshold_comment,5857.0
remedial_measure,5854.0
office_space,5853.0
explanatory_variable,5851.0
water_sewerage,5850.0
bear_mind,5845.0
working_condition,5842.0
cash_balance,5830.0
agriculture_forestry,5824.0
health_insurance,5824.0
dam_safety,5822.0
female_head_household,5821.0
secretary_general,5809.0
capital_inflow,5806.0
series_finding_quickly,5802.0
contract_order_invoice,5801.0
non_existent,5799.0
accordance_provision_paragraph_guideline,5796.0
literature_review,5793.0
law_enforcement,5781.0
shall_furnish_association,5775.0
remain_stable,5775.0
literacy_rate,5767.0
region_document_restrict,5763.0
schedule_withdrawal_proceed,5760.0
external_shock,5757.0
staff_calculation,5756.0
poverty_inequality,5754.0
payment_special_account,5754.0
ministry_justice,5750.0
physical_contingency,5749.0
subsidiary_right,5742.0
user_charge,5740.0
value_date_jun,5728.0
anticipate_future,5726.0
borrower_shall_promptly,5725.0
relatively_little,5724.0
attach_annex,5723.0
dollar_equivalent,5719.0
sharp_decline,5716.0
research_working_paper,5715.0
south_west,5704.0
fix_effect,5693.0
pip_water,5692.0
locate_near,5691.0
northern_region,5688.0
pumping_station,5685.0
attract_foreign,5683.0
lend_instrument,5674.0
constraint_face,5672.0
peer_reviewer,5671.0
adequately_address,5665.0
state_cable_address,5664.0
environment_natural_resource,5662.0
stop_shop,5659.0
long_history,5654.0
financially_viable,5648.0
easily_accessible,5643.0
data_sheet,5641.0
united_kingdom_united_state,5637.0
long_stand,5636.0
term_reference_tor,5633.0
march_march,5625.0
price_contingency,5623.0
respect_withdrawal,5618.0
daily_basis,5614.0
world_bank_street_fax,5610.0
compare_favorably,5609.0
self_sufficiency,5603.0
special_purpose,5598.0
press_release,5596.0
eastern_central,5589.0
enrollment_rate,5585.0
depend_nature,5584.0
papa_new_guinea,5583.0
knowledge_skill,5583.0
liquid_asset,5580.0
visit_org,5576.0
comprise_entirely_national,5573.0
disposable_income,5570.0
incidence_poverty,5562.0
refer_paragraph_section,5552.0
bilateral_multilateral,5544.0
capital_adequacy,5536.0
working_paper,5529.0
make_publicly_available,5512.0
economic_memorandum,5507.0
comply_article,5506.0
clearly_indicate,5494.0
biodiversity_conservation,5492.0
air_transport,5491.0
prior_direct_selection,5491.0
central_eastern,5490.0
key_driver,5487.0
grace_period,5483.0
presentation_fully_polished_paper,5482.0
dummy_variable,5482.0
code_conduct,5478.0
finding_interpretation_conclusion_express,5472.0
advanced_stage,5469.0
website_org,5467.0
standard_error,5446.0
medium_sized,5446.0
year_certify_copy,5437.0
purchase_power_parity,5437.0
extremely_difficult,5429.0
real_wage,5429.0
cross_cut,5424.0
pregnant_woman,5424.0
nation_wide,5419.0
sustained_growth,5415.0
employ_worker,5411.0
